seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
248,0037e6e69016b827a679c84e41e40bdbf8b20fc1_AMI,1722470400,1725061500,15 minute
249,003814e0bc81c73e7f22027ce0faa8b5e66fc110_AMI,1722470400,1725061500,15 minute
250,00384e3c14b53e90278b9307b587e70c1982d303_AMI,1722470400,1725061500,15 minute
251,00387174a8b68dd49d24fa897bfac730ece657a6_AMI,1722470400,1725061500,15 minute
252,00387f7ccfc333cdbbbb0082b38789a5ff728191_AMI,1722470400,1725061500,15 minute
253,0038b2073d1d95396e80329282de63dd8994ca25_AMI,1722470400,1725061500,15 minute
254,0038cabababd620ac7fc128b8d22dfd434ceb28e_AMI,1722470400,1725061500,15 minute
255,0038fd5eea0fed0214ab1a663af777e43a18e68f_AMI,1722470400,1725061500,15 minute
256,0039466d7b4257bade2fde1fadb395cffa8c4ce6_AMI,1722470400,1725061500,15 minute
257,0039b20e21ee0321c1713023796be209c40c3659_AMI,1722470400,1725061500,15 minute
258,0039df5ae9c0866f3513ad6591beb367fc1f5c14_AMI,1722470400,1725061500,15 minute
259,0039f79ddedfce3e49e5d7956f44a6a9f3730815_AMI,1722470400,1725061500,15 minute
260,003a2cc11be567a25ebf37314db304c456a9340c_AMI,1722470400,1725061500,15 minute
261,003aa56cc0cbf78dfc35a10b95b34207ab0a320a_AMI,1722470400,1725061500,15 minute
262,003aebc97ce6ded7c20f4c6b8cf6731138d0d43b_AMI,1722470400,1725061500,15 minute
263,003b6c6a7e1328fcb778a9e246dd783d7f80fbed_AMI,1722470400,1725061500,15 minute
264,003b75d550244a8e4308c6a31d0681b09eb1c4cf_AMI,1722470400,1725061500,15 minute
265,003b7798a6589f38f6425c58bb692e5f68165eb7_AMI,1722470400,1725061500,15 minute
266,003bceb6f6961f54dcd914c3ae660d693aca42b6_AMI,1722470400,1725061500,15 minute
267,003bf39dc37ddff12d6072f0f15f51aab53a284a_AMI,1722470400,1725061500,15 minute
268,003c04f171041de1c278cddaa019b219a136c943_AMI,1722470400,1725061500,15 minute
269,003c1fd5de8afc0be684d6d8ac1989b96f7a325b_AMI,1722470400,1725061500,15 minute
270,003c5f9078e56e48393bac61998d2b2173eb0eb0_AMI,1722470400,1725061500,15 minute
271,003d1d0abc580850a6edfc09118f6f5f5ad15cdc_AMI,1722470400,1725061500,15 minute
272,003d5a8293ccf06194940a20566bc9a221967fa9_AMI,1722470400,1725061500,15 minute
273,003d91f78882dab8d1656068d7d26684a5d858c5_AMI,1722470400,1725061500,15 minute
274,003da04ace6b103bbc4b81d59a85d7cd13ac4d72_AMI,1722470400,1725061500,15 minute
275,003e05240d4960f9632e300ba6ebc8a852da4cf3_AMI,1722470400,1725061500,15 minute
276,003e099f913305f7093a8a87f2416df6b7f88992_AMI,1722470400,1725061500,15 minute
277,003e7627b260aeba343daa7663dc347bdd627d33_AMI,1722470400,1725061500,15 minute
278,003ea460d968ab2054557422e7418faf50fc84a9_AMI,1722470400,1725061500,15 minute
279,003f0e20dcb010fe059aaa3d07bfe1173f001d55_AMI,1722470400,1725061500,15 minute
280,003f21ff5ac6aee8aa5ab205fdd2916de58fb2eb_AMI,1722470400,1725061500,15 minute
281,003f3e91755f9b83d40a57cd770f04e50faf6bc0_AMI,1722470400,1725061500,15 minute
282,003f46b017a0164ffebcdbc57237cb46226c4eaf_AMI,1722470400,1725061500,15 minute
283,003f90eb5327c77a91965009cf42c3795c5d3432_AMI,1722470400,1725061500,15 minute
